,songs_id,song_name,counts,album_id,album_name,format,country,year,genre,style
74,3ae477a1-703b-4369-8452-2c2c74a374db,100.000 Years,2,https://www.discogs.com/Kiss-Firehouse-Rock-The-Nation/release/3140220,Firehouse - Rock The Nation,DVD;DVD-Video;PAL,Serbia,2007,Rock,Classic Rock;Hard Rock
75,3ae477a1-703b-4369-8452-2c2c74a374db,100.000 Years,2,https://www.discogs.com/Kiss-Firehouse-Rock-The-Nation/master/684092,Firehouse - Rock The Nation,--,--,2007,Rock,Classic Rock;Hard Rock
76,cb1ad3f9-68d3-40c4-a8d2-04bc92a0c4ef,Ovo Je Priča O Nama,2,https://www.discogs.com/Milan-Stankovi%C4%87-Solo/release/3996122,Solo,CD;Album,Serbia,2009,"Electronic;Pop;Folk, World, & Country",Electro;Europop
77,cb1ad3f9-68d3-40c4-a8d2-04bc92a0c4ef,Ovo Je Priča O Nama,2,https://www.discogs.com/Milan-Stankovi%C4%87-Solo/master/747261,Solo,--,--,2009,"Electronic;Pop;Folk, World, & Country",Electro;Europop
78,b087aed8-fb66-47ef-83b2-b38cb162ca55,Uvele Su Ruže,2,https://www.discogs.com/Nihad-Alibegovi%C4%87-Nihad-Alibegovi%C4%87/master/1276450,Nihad Alibegović,--,--,2006,"Folk, World, & Country",Folk
79,b087aed8-fb66-47ef-83b2-b38cb162ca55,Uvele Su Ruže,2,https://www.discogs.com/Nihad-Alibegovi%C4%87-Nihad-Alibegovi%C4%87/release/6593740,Nihad Alibegović,CD;Album,Serbia,2006,"Folk, World, & Country",Folk
80,3adf0619-6fa8-485b-a70c-cbcbbf0d0073,Modern Love Waltz,2,https://www.discogs.com/Branka-Parli%C4%87-Philip-Glass-Metamorphosis/master/841306,Metamorphosis,--,--,2006,Classical,Contemporary
81,3adf0619-6fa8-485b-a70c-cbcbbf0d0073,Modern Love Waltz,2,https://www.discogs.com/Branka-Parli%C4%87-Philip-Glass-Metamorphosis/release/1676814,Metamorphosis,CD;Album,Serbia,2006,Classical,Contemporary
82,e8286e6d-ba8c-48cd-8328-cc08cb760858,No Hate Allowed (Original),2,https://www.discogs.com/Kruko-No-Hate-Allowed/release/1076717,No Hate Allowed,"Vinyl;12""",Serbia,2007,Electronic,Techno;Minimal
83,e8286e6d-ba8c-48cd-8328-cc08cb760858,No Hate Allowed (Original),2,https://www.discogs.com/Kruko-No-Hate-Allowed/master/1253494,No Hate Allowed,--,--,2007,Electronic,Techno;Minimal
84,e82c2650-32c0-4f3c-abc8-24d6b11eb3fd,Sanjaš,2,https://www.discogs.com/Igra-Staklenih-Perli-Igra-Svetlosti/master/327428,Igra Svetlosti,--,--,2007,Rock,Psychedelic Rock;Prog Rock
85,e82c2650-32c0-4f3c-abc8-24d6b11eb3fd,Sanjaš,2,https://www.discogs.com/Igra-Staklenih-Perli-Igra-Svetlosti/release/1603815,Igra Svetlosti,CD;Album;Compilation;Reissue;Remastered;,Serbia,2007,Rock,Psychedelic Rock;Prog Rock
86,e82ea46c-c9b9-4743-9f69-52fd05a1e2ea,Ja Ću Uvek Da Ti Čuvam Leđa,2,https://www.discogs.com/Milan-Stankovi%C4%87-Solo/release/3996122,Solo,CD;Album,Serbia,2009,"Electronic;Pop;Folk, World, & Country",Electro;Europop
87,e82ea46c-c9b9-4743-9f69-52fd05a1e2ea,Ja Ću Uvek Da Ti Čuvam Leđa,2,https://www.discogs.com/Milan-Stankovi%C4%87-Solo/master/747261,Solo,--,--,2009,"Electronic;Pop;Folk, World, & Country",Electro;Europop
88,58df7a92-7028-4b0e-be2b-e75ac418f49e,Sea Pipe,2,https://www.discogs.com/Various-Belgrade-Coffee-Shop-2/master/1185863,Belgrade Coffee Shop 2,--,--,2001,Electronic,Future Jazz;Downtempo;Ambient;Breakbeat;Acid Jazz
89,58df7a92-7028-4b0e-be2b-e75ac418f49e,Sea Pipe,2,https://www.discogs.com/Various-Belgrade-Coffee-Shop-2/release/499571,Belgrade Coffee Shop 2,CD;Compilation,Serbia,2001,Electronic,Future Jazz;Downtempo;Ambient;Breakbeat;Acid Jazz
90,cb1bac19-dc75-453d-873a-81ccb3940ec6,Juriš Na Momke,2,https://www.discogs.com/Zorica-Ven-Zorica-Ven/master/1448618,Zorica Ven,--,--,2005,"Folk, World, & Country",Folk
91,cb1bac19-dc75-453d-873a-81ccb3940ec6,Juriš Na Momke,2,https://www.discogs.com/Zorica-Ven-Zorica-Ven/release/8825803,Zorica Ven,CD;Album;Stereo,Serbia,2005,"Folk, World, & Country",Folk
92,58de1d57-587e-4e91-a4ba-c2dc73e7d9f3,Neću,2,https://www.discogs.com/Tijana-%C5%BDuta-Minuta/master/1024798,Žuta Minuta,--,--,2007,Pop,Europop
93,58de1d57-587e-4e91-a4ba-c2dc73e7d9f3,Neću,2,https://www.discogs.com/Tijana-%C5%BDuta-Minuta/release/2646316,Žuta Minuta,CD;Album,Serbia,2007,Pop,Europop
94,99b62a1b-286f-4c75-88e4-668fe526ff5c,Ima Neka Tajna Veza,2,https://www.discogs.com/Zdravko-%C4%8Coli%C4%87-Bijelo-Dugme-%C4%90or%C4%91e-Bala%C5%A1evi%C4%87-Najlep%C5%A1e-Balade-17-Nezaboravnih-Balada/release/1168803,Najlepše Balade - 17 Nezaboravnih Balada,CD;Compilation;,Serbia,2005,Rock;Pop,Soft Rock;Ballad
95,99b62a1b-286f-4c75-88e4-668fe526ff5c,Ima Neka Tajna Veza,2,https://www.discogs.com/Zdravko-%C4%8Coli%C4%87-Bijelo-Dugme-%C4%90or%C4%91e-Bala%C5%A1evi%C4%87-Najlep%C5%A1e-Balade-17-Nezaboravnih-Balada/master/1219501,Najlepše Balade - 17 Nezaboravnih Balada,--,--,2005,Rock;Pop,Soft Rock;Ballad
96,3ae83fa0-89f4-4df8-9c47-33bf3e24397f,Ne Mogu Ti Ništa Osim Srca Dati,2,https://www.discogs.com/Plavi-Orkestar-The-Platinum-Collection/master/945143,The Platinum Collection,--,--,2007,Rock;Pop,Pop Rock
97,3ae83fa0-89f4-4df8-9c47-33bf3e24397f,Ne Mogu Ti Ništa Osim Srca Dati,2,https://www.discogs.com/Plavi-Orkestar-The-Platinum-Collection/release/7993068,The Platinum Collection,CD;Compilation,Serbia,2007,Rock;Pop,Pop Rock
98,3ae8d1e0-39d6-4685-9f68-c2646e633b38,Prvi Ruž,2,https://www.discogs.com/Bane-Moji%C4%87evi%C4%87-Zlato-Moje/master/179085,Zlato Moje,--,--,2008,"Folk, World, & Country",Folk
99,3ae8d1e0-39d6-4685-9f68-c2646e633b38,Prvi Ruž,2,https://www.discogs.com/Bane-Moji%C4%87evi%C4%87-Zlato-Moje/release/1915818,Zlato Moje,CD;Album,Serbia,2008,"Folk, World, & Country",Folk
100,58d6cc3e-4466-4fcf-9350-669121e2f23c,Alaj Mi Je Večeras Po Volji,2,https://www.discogs.com/Various-Gu%C4%8Da-Muzi%C4%8Dka-Razglednica/master/661476,Guča - Muzička Razglednica,--,--,2007,Brass & Military,Folk
101,58d6cc3e-4466-4fcf-9350-669121e2f23c,Alaj Mi Je Večeras Po Volji,2,https://www.discogs.com/Various-Gu%C4%8Da-Muzi%C4%8Dka-Razglednica/release/4767449,Guča - Muzička Razglednica,CD;Compilation,Serbia,2007,Brass & Military,Folk
102,99ac289e-c79b-4f12-b458-bed5c508123b,Ničija,2,https://www.discogs.com/Ana-Bekuta-The-Best-Of-Ana-Bekuta/release/4914189,The Best Of Ana Bekuta,CD2×;Compilation;,Serbia,2008,"Pop;Folk, World, & Country",Folk
103,99ac289e-c79b-4f12-b458-bed5c508123b,Ničija,2,https://www.discogs.com/Ana-Bekuta-The-Best-Of-Ana-Bekuta/master/899237,The Best Of Ana Bekuta,--,--,2008,"Pop;Folk, World, & Country",Folk
